Sample	Chloroquine	Pyrimethamine	Sulfadoxine	Mefloquine	Artemisinin	Piperaquine	SP (uncomplicated)	SP (IPTp)	AS-MQ	DHA-PPQ	HRP2	HRP3	HRP2 and HRP3
PA1052-CW	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
PA1061-CW	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
PA1062-CW	Resistant	Resistant	Sensitive	Undetermined	Undetermined	Sensitive	Resistant	Sensitive	Undetermined	Sensitive	uncallable	uncallable	uncallable
PA1313-Cw	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PA1315-Cw	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PA1316-Cw	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PA1317-Cw	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PA1318-Cw	Resistant	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PA1319-Cw	Resistant	Resistant	Undetermined	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
PA1320-Cw	Resistant	Resistant	Undetermined	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	uncallable	nodel
PA1321-Cw	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PA1323-Cw	Sensitive	Resistant	Sensitive	Undetermined	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
PA1324-Cw	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PA1326-Cw	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PA1328-Cw	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	uncallable	nodel
PA1330-Cw	Resistant	Resistant	Sensitive	Undetermined	Sensitive	Undetermined	Resistant	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
PA1331-Cw	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PA1332-Cw	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
PA1333-Cw	Sensitive	Resistant	Undetermined	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PA1336-Cw	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	uncallable	nodel
PA1337-Cw	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
PA1338-Cw	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	nodel	uncallable	nodel
PA1339-Cw	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PA1340-Cw	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
PA1349-Cw	Resistant	Resistant	Undetermined	Undetermined	Undetermined	Sensitive	Resistant	Sensitive	Undetermined	Sensitive	uncallable	uncallable	uncallable
PA1362-Cw	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PA1369-Cw	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PA1376-Cw	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
PA1391-Cw	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	uncallable	nodel
PA1406-Cw	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
PA1411-Cw	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PA1426-Cw	Resistant	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
PA1437-Cw	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
PA1446-Cw	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	uncallable	nodel
PA1447-Cw	Undetermined	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PA1448-Cw	Undetermined	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
PA1450-Cw	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	uncallable	nodel
PA1452-Cw	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PA1453-Cw	Undetermined	Resistant	Undetermined	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PA1456-Cw	Sensitive	Resistant	Sensitive	Undetermined	Undetermined	Undetermined	Resistant	Sensitive	Undetermined	Undetermined	uncallable	uncallable	uncallable
PC0001-C	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
PC0003-02	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PC0004-01	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PC0005-Cx	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PC0007-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PC0008-01	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PC0009-C	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
PC0011-C	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PC0012-C	Undetermined	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PC0013-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PC0019-C	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	del	nodel
PC0023-C	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PC0026-C	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
PC0030-C	Sensitive	Resistant	Undetermined	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PC0031-C	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
PC0032-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
PC0033-C	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PC0044-C	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
PC0046-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PC0047-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PC0051-C	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PC0053-C	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PC0054-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
